cod_localidad;localidad;cod_prov;provincia;zona_cod;zona_descr;region_cod;region_descr;amba_interior;region_pais_cod;departamento;cp
207;General Alvear;1;Mendoza;3;Cuyo;1;Cuyo;INTERIOR;2;General Alvear;7263
210;General Cabrera;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;Juárez Celman;5809
211;General Deheza;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;Juárez Celman;5923
212;General Lamadrid;14;Buenos Aires;12;Sur;7;PBA;INTERIOR;2;General La Madrid;7406
215;General Pacheco;8;Cap & Gba;4;GBA NORTE;6;CAP & GBA;AMBA;1;Tigre;1617
216;General Pico;14;Buenos Aires;12;Sur;5;Sur;INTERIOR;2;Maracó;6360
218;General Pinto;20;La Pampa;12;Sur;7;PBA;INTERIOR;2;General Pinto;6050
219;General Roca;20;La Pampa;12;Sur;7;PBA;INTERIOR;2;General Roca;7600
183;Esquina;10;Corrientes;8;NEA;4;NEA;INTERIOR;2;Esquina;5131
184;Esteban Echeverria;8;Cap & Gba;4;GBA NORTE;6;CAP & GBA;AMBA;1;Esteban Echeverría;1842
185;Eugenio Bustos;1;Mendoza;3;Cuyo;1;Cuyo;INTERIOR;2;San Carlos;5569
187;Ezpeleta;8;Cap & Gba;6;GBA SUR;6;CAP & GBA;AMBA;1;Quilmes;1882
188;Federacion;17;Entre Rios;7;Litoral;10;Litoral;INTERIOR;2;Federación;3206
192;Firmat;2;Santa Fe;11;Rosario;3;Rosario;INTERIOR;2;Constitución;2630
195;Florentino Ameghino;14;Buenos Aires;12;Sur;7;PBA;INTERIOR;2;Florentino Ameghino;7600
198;Florida;8;Cap & Gba;4;GBA NORTE;6;CAP & GBA;AMBA;1;Vicente López;1602
199;Formosa;18;Formosa;8;NEA;4;NEA;INTERIOR;2;Formosa;3600
201;Frias;11;Santiago Del Estero;9;NOA;8;NOA Norte;INTERIOR;2;Choya;4230
202;Funes;2;Santa Fe;11;Rosario;3;Rosario;INTERIOR;2;Ischilín;5509
203;Gaiman;7;Chubut;12;Sur;5;Sur;INTERIOR;2;Gaiman;9105
162;Diamante;17;Entre Rios;7;Litoral;10;Litoral;INTERIOR;2;Diamante;3105
163;Dolores;14;Buenos Aires;6;GBA SUR;6;CAP & GBA;INTERIOR;2;Dolores;7100
167;Eduardo Castex;20;La Pampa;12;Sur;7;PBA;INTERIOR;2;Conhelo;6380
168;El Bolson;5;Rio Negro;12;Sur;5;Sur;INTERIOR;2;Bariloche;8430
169;El Calafate;22;Santa Cruz;12;Sur;5;Sur;INTERIOR;2;Lago Argentino;9201
170;El Carmen;9;Jujuy;9;NOA;8;NOA Norte;INTERIOR;2;El Carmen;3190
172;El Maiten;7;Chubut;12;Sur;5;Sur;INTERIOR;2;Cushamen;9210
174;El Talar;8;Cap & Gba;4;GBA NORTE;6;CAP & GBA;AMBA;1;Tigre;1618
176;Embalse;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;Calamuchita;5856
177;Empedrado;10;Corrientes;8;NEA;4;NEA;INTERIOR;2;Empedrado;3418
181;Esperanza;2;Santa Fe;7;Litoral;10;Litoral;INTERIOR;2;Las Colonias;1763
182;Esquel;7;Chubut;12;Sur;5;Sur;INTERIOR;2;Futaleufú;9200
141;Coronda;2;Santa Fe;7;Litoral;10;Litoral;INTERIOR;2;San Jerónimo;2240
143;Coronel Dorrego;14;Buenos Aires;12;Sur;7;PBA;INTERIOR;2;Coronel Dorrego;8150
144;Coronel Moldes;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;Río Cuarto;5847
145;Coronel Pringles;14;Buenos Aires;12;Sur;7;PBA;INTERIOR;2;Coronel Pringles;7530
146;Coronel Suarez;14;Buenos Aires;12;Sur;7;PBA;INTERIOR;2;Coronel Suárez;7540
149;Cosquin;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;Punilla;5166
150;Crespo;8;Cap & Gba;1;CAP FED;6;CAP & GBA;AMBA;1;Comuna 1;3116
151;Crucesita;8;Cap & Gba;6;GBA SUR;6;CAP & GBA;AMBA;1;Avellaneda;1873
154;Curuzu Cuatia;10;Corrientes;8;NEA;4;NEA;INTERIOR;2;Curuzú Cuatiá;3460
155;Cutral Có;16;Neuquen;12;Sur;5;Sur;INTERIOR;2;Pehuenches;8322
161;Devoto;8;Cap & Gba;1;CAP FED;6;CAP & GBA;AMBA;1;Comuna 11;1417
38;Bahia Blanca;14;Buenos Aires;12;Sur;5;Sur;INTERIOR;2;Bahia Blanca;8000
45;Bariloche;5;Rio Negro;12;Sur;5;Sur;INTERIOR;2;Bariloche;8400
134;Comodoro Rivadavia;7;Chubut;12;Sur;5;Sur;INTERIOR;2;Escalante;9000
135;Concepcion;13;Tucuman;9;NOA;9;NOA Sur;INTERIOR;2;Chicligasta;5871
136;Concepcion Del Uruguay;17;Entre Rios;7;Litoral;10;Litoral;INTERIOR;2;Uruguay;3260
656;San Martin;1;Mendoza;3;Cuyo;1;Cuyo;INTERIOR;2;San Martin;5570
629;Villa Mercedes;4;San Luis;3;Cuyo;1;Cuyo;INTERIOR;2;General Pedernera;5730
106;Chacabuco;14;Buenos Aires;12;PBA;7;PBA;INTERIOR;2;Chacabuco;6740
311;Lomas de Zamora;8;Cap & Gba;6;GBA SUR;6;CAP & GBA;AMBA;1;Lomas De Zamora;1832
314;Longchamps;8;Cap & Gba;6;GBA SUR;6;CAP & GBA;AMBA;1;Almirante Brown;1854
316;Los Polvorines;8;Cap & Gba;4;GBA NORTE;6;CAP & GBA;AMBA;1;Malvinas Argentinas;1613
320;Lujan;8;Cap & Gba;5;GBA OESTE;6;CAP & GBA;AMBA;1;Tigre;6700
324;Maciel;2;Santa Fe;7;Litoral;10;Litoral;INTERIOR;2;San Jerónimo;2208
329;Malvinas Argentinas;8;Cap & Gba;4;GBA NORTE;6;CAP & GBA;AMBA;1;Malvinas Argentinas;1846
269;La Boca;8;Cap & Gba;1;CAP FED;6;CAP & GBA;AMBA;1;Comuna 4;1159
274;La Francia;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;San Justo;2426
278;La Para;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;Río Primero;7620
281;La Puerta;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;Colón;4711
659;La Rioja;26;La Rioja;9;NOA Sur;9;NOA Sur;INTERIOR;2;Capital;5300
285;La Toma;4;San Luis;3;Cuyo;1;Cuyo;INTERIOR;2;Coronel Pringles;4751
289;Laguna Larga;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;Río Segundo;5974
291;Lanus;8;Cap & Gba;6;GBA SUR;6;CAP & GBA;AMBA;1;Lanús;1824
300;Las Parejas;2;Santa Fe;11;Rosario;3;Rosario;INTERIOR;2;Belgrano;2505
307;Liniers;8;Cap & Gba;1;CAP FED;6;CAP & GBA;AMBA;1;Lincoln;1408
231;Grand Bourg;8;Cap & Gba;4;GBA NORTE;6;CAP & GBA;AMBA;1;Malvinas Argentinas;1615
239;Haedo;8;Cap & Gba;5;GBA OESTE;6;CAP & GBA;AMBA;1;Morón;1706
242;Hersilia;2;Santa Fe;7;Litoral;10;Litoral;INTERIOR;2;San Cristóbal;2352
244;Hurlingham;8;Cap & Gba;5;GBA OESTE;6;CAP & GBA;AMBA;1;Hurlingham;1686
245;Ingeniero Adolfo Sourdeaux;8;Cap & Gba;4;GBA NORTE;6;CAP & GBA;AMBA;1;Malvinas Argentinas;1612
